accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,image_count
1961040,Lepidoptera,Geometridae,Chlorissa,Chlorissa viridata,Chlorissa viridata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5806132,Lepidoptera,Geometridae,Chlorochlamys,Chlorochlamys chloroleucaria,Chlorochlamys chloroleucaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1963463,Lepidoptera,Geometridae,Chloroclysta,Chloroclysta miata,Chloroclysta miata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1963446,Lepidoptera,Geometridae,Chloroclysta,Chloroclysta siterata,Chloroclysta siterata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1989428,Lepidoptera,Geometridae,Chloroclystis,Chloroclystis v-ata,Chloroclystis v-ata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5768880,Lepidoptera,Geometridae,Cidaria,Cidaria fulvata,Cidaria fulvata,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5769028,Lepidoptera,Geometridae,Cleora,Cleora cinctaria,Cleora cinctaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1985522,Lepidoptera,Geometridae,Cleorodes,Cleorodes lichenaria,Cleorodes lichenaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1988504,Lepidoptera,Geometridae,Coenocalpe,Coenocalpe lapidata,Coenocalpe lapidata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
9414984,Lepidoptera,Geometridae,Nebula,Coenotephria salicata,Nebula salicata,98,SYNONYM,EXACT,SPECIES,london31May2023,0.0
1988602,Lepidoptera,Geometridae,Colostygia,Colostygia multistrigaria,Colostygia multistrigaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1988684,Lepidoptera,Geometridae,Colostygia,Colostygia olivata,Colostygia olivata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1988593,Lepidoptera,Geometridae,Colostygia,Colostygia pectinataria,Colostygia pectinataria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1968867,Lepidoptera,Geometridae,Colotois,Colotois pennaria,Colotois pennaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4523522,Lepidoptera,Geometridae,Comibaena,Comibaena bajularia,Comibaena bajularia,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1970213,Lepidoptera,Geometridae,Cosmorhoe,Cosmorhoe ocellata,Cosmorhoe ocellata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4524223,Lepidoptera,Geometridae,Costaconvexa,Costaconvexa centrostrigaria,Costaconvexa centrostrigaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4524221,Lepidoptera,Geometridae,Costaconvexa,Costaconvexa polygrammata,Costaconvexa polygrammata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1990533,Lepidoptera,Geometridae,Crocallis,Crocallis dardoinaria,Crocallis dardoinaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1990551,Lepidoptera,Geometridae,Crocallis,Crocallis elinguaria,Crocallis elinguaria,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5149746,Lepidoptera,Geometridae,Cyclophora,Cyclophora albipunctata,Cyclophora albipunctata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5149768,Lepidoptera,Geometridae,Cyclophora,Cyclophora annularia,Cyclophora annularia,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
7443518,Lepidoptera,Geometridae,Cyclophora,Cyclophora linearia,Cyclophora linearia,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5149704,Lepidoptera,Geometridae,Cyclophora,Cyclophora pendularia,Cyclophora pendularia,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
