accepted_taxon_key,family_name,genus_name,search_species_name,gbif_species_name,image_count
1765011,Noctuidae,Caradrina,Caradrina morpheus,Caradrina morpheus,1000
4534257,Noctuidae,Caradrina,Caradrina selini,Caradrina selini,873
4534463,Noctuidae,Celaena,Celaena haworthii,Celaena haworthii,1000
4534207,Noctuidae,Ceramica,Ceramica pisi,Ceramica pisi,1000
1763610,Noctuidae,Cerapteryx,Cerapteryx graminis,Cerapteryx graminis,1000
5110871,Noctuidae,Cerastis,Cerastis leucographa,Cerastis leucographa,652
5110885,Noctuidae,Cerastis,Cerastis rubricosa,Cerastis rubricosa,1000
1800140,Noctuidae,Charadra,Charadra deridens,Charadra deridens,1000
1778074,Noctuidae,Charanyca,Charanyca trigrammica,Charanyca trigrammica,1000
1778596,Noctuidae,Chilodes,Chilodes maritima,Chilodes maritima,1000
5772309,Noctuidae,Chloantha,Chloantha hyperici,Chloantha hyperici,571
1785181,Noctuidae,Chrysodeixis,Chrysodeixis acuta,Chrysodeixis acuta,89
1785185,Noctuidae,Chrysodeixis,Chrysodeixis chalcites,Chrysodeixis chalcites,1000
1771634,Noctuidae,Xanthia,Cirrhia gilvago,Xanthia gilvago,1000
8581601,Noctuidae,Xanthia,Cirrhia icteritia,Cirrhia icteritia,1000
9549172,Noctuidae,Xanthia,Cirrhia ocellaris,Cirrhia ocellaris,636
1775891,Noctuidae,Coenobia,Coenobia rufa,Coenobia rufa,949
1781694,Noctuidae,Coenophila,Coenophila subrosea,Coenophila subrosea,865
5114198,Noctuidae,Colocasia,Colocasia coryli,Colocasia coryli,1000
4534017,Noctuidae,Conisania,Conisania andalusica,Conisania andalusica,27
1768815,Noctuidae,Conistra,Conistra erythrocephala,Conistra erythrocephala,1000
1768729,Noctuidae,Conistra,Conistra ligula,Conistra ligula,968
1768771,Noctuidae,Conistra,Conistra rubiginea,Conistra rubiginea,1000
1768749,Noctuidae,Conistra,Conistra rubiginosa,Conistra rubiginosa,1000
1768702,Noctuidae,Conistra,Conistra vaccinii,Conistra vaccinii,1000
9593475,Noctuidae,Psaphida,Copipanolis styracis,Psaphida styracis,147
4534038,Noctuidae,Coranarta,Coranarta cordigera,Coranarta cordigera,1000
1784349,Noctuidae,Cornutiplusia,Cornutiplusia circumflexa,Cornutiplusia circumflexa,201
1769519,Noctuidae,Cosmia,Cosmia affinis,Cosmia affinis,965
1769543,Noctuidae,Cosmia,Cosmia diffinis,Cosmia diffinis,606
1769505,Noctuidae,Cosmia,Cosmia pyralina,Cosmia pyralina,1000
1769566,Noctuidae,Cosmia,Cosmia trapezina,Cosmia trapezina,1000
1791422,Noctuidae,Craniophora,Craniophora ligustri,Craniophora ligustri,1000
1795215,Noctuidae,Cryphia,Cryphia algae,Cryphia algae,1000
4534540,Noctuidae,Crypsedra,Crypsedra gemmea,Crypsedra gemmea,1000
1785361,Noctuidae,Ctenoplusia,Ctenoplusia accentifera,Ctenoplusia accentifera,83
1785329,Noctuidae,Ctenoplusia,Ctenoplusia limbirena,Ctenoplusia limbirena,581
5109599,Noctuidae,Cucullia,Cucullia absinthii,Cucullia absinthii,1000
5109641,Noctuidae,Cucullia,Cucullia argentea,Cucullia argentea,187
5109595,Noctuidae,Cucullia,Cucullia artemisiae,Cucullia artemisiae,110
5109614,Noctuidae,Cucullia,Cucullia asteris,Cucullia asteris,770
