"family_taxon","taxon","preferred_authority","common_name","name_tvk","rtvk","organism_key"
"Geometridae","Aethalura punctulata","([Denis & Schiffermüller], 1775)","Grey Birch","NHMSYS0021144260","NHMSYS0021144260","NBNORG0000057297"
"Geometridae","Agriopis aurantiaria","(Hübner, [1799])","Scarce Umber","NHMSYS0021144222","NHMSYS0021144222","NBNORG0000057348"
"Geometridae","Agriopis leucophaearia","([Denis & Schiffermüller], 1775)","Spring Usher","NHMSYS0021144221","NHMSYS0021144221","NBNORG0000057349"
"Geometridae","Agriopis marginaria","(Fabricius, [1777])","Dotted Border","NHMSYS0021144223","NHMSYS0021144223","NBNORG0000009237"
"Geometridae","Alcis jubata","(Thunberg, 1788)","Dotted Carpet","NBNSYS0000006034","NBNSYS0000006034","NBNORG0000009244"
"Geometridae","Alcis repandata","(Linnaeus, 1758)","Mottled Beauty","NBNSYS0000006033","NBNSYS0000006033","NBNORG0000009243"
"Geometridae","Aleucis distinctata","(Herrich-Schäffer, [1839])","Sloe Carpet","NHMSYS0021144272","NHMSYS0021144272","NBNORG0000057422"
"Geometridae","Alsophila aescularia","([Denis & Schiffermüller], 1775)","March Moth","NHMSYS0021144210","NHMSYS0021144210","NBNORG0000057423"
"Geometridae","Angerona prunaria","(Linnaeus, 1758)","Orange Moth","NBNSYS0000006015","NBNSYS0000006015","NBNORG0000009232"
"Geometridae","Anticlea derivata","([Denis & Schiffermüller], 1775)","Streamer","NHMSYS0021143944","NHMSYS0021143944","NBNORG0000057459"
"Geometridae","Anticollix sparsata","(Treitschke, 1828)","Dentated Pug","NBNSYS0000005951","NBNSYS0000005951","NBNORG0000009194"
"Geometridae","Apeira syringaria","(Linnaeus, 1758)","Lilac Beauty","NBNSYS0000006001","NBNSYS0000006001","NBNORG0000009223"
"Geometridae","Aplasta ononaria","(Fuessly, 1783)","Rest Harrow","NBNSYS0000005737","NBNSYS0000005737","NBNORG0000009063"
"Geometridae","Aplocera efformata","(Guenée, [1858])","Lesser Treble-bar","NHMSYS0021144141","NHMSYS0021144141","NBNORG0000057385"
"Geometridae","Aplocera plagiata","(Linnaeus, 1758)","Treble-bar","NBNSYS0000005958","NBNSYS0000005958","NBNORG0000009199"
"Geometridae","Aplocera praeformata","(Hübner, [1826])","Purple Treble-bar","NHMSYS0021144142","NHMSYS0021144142","NBNORG0000057387"
"Geometridae","Apocheima hispidaria","([Denis & Schiffermüller], 1775)","Small Brindled Beauty","NHMSYS0021144212","NHMSYS0021144212","NBNORG0000057389"
"Geometridae","Archiearis notha","(Hübner, 1803)","Light Orange Underwing","NHMSYS0000501171","NHMSYS0000501171","NBNORG0000057407"
